PID,POIs,LATITUDE,LONGITUDE,IN-TIME1,IN-TIME2,OUT-TIME1,OUT-TIME2
POI1,AMBER PALACE,26.9854865,75.8513454,10:00,18:30,17:00,21:15
POI2,CITY PALACE JAIPUR,26.9257713,75.8236581,9:30,-,17:00,-
POI3,JANTAR MANTAR JAIPUR,26.924762,75.82456,9:00,-,17:00,-
POI4,HAWA MAHAL,26.9239363,75.8267438,9:00,-,16:30,-
POI5,ALBERT HALL MUSEUM (CENTRAL MUSEUM),26.9115755,75.8194875,9:00,19:00,17:00,22:00
POI6,NAHARGARH FORT,26.9373127,75.8155259,10:00,-,18:00,-
POI7,BIRLA TEMPLE JAIPUR,26.8921959,75.8153921,6:30,12:30,12:00,20:30
POI8,JAL MAHAL,26.9534682,75.846138,12:00,-,22:30,-
POI9,KING EDWARD MEMORIAL,26.9167445,75.817966,9:00,19:00,17:00,22:00
POI10,SISODIA RANI PALACE AND GARDEN,26.8994218,75.8587309,8:00,-,20:00,-
POI11,VIDYADHAR GARDEN,26.8997912,75.853619,6:00,18:00,17:00,20:00
POI12,CENTRAL PARK JAIPUR INDIA,26.9047845,75.8072858,5:00,-,21:00,-
POI13,ANOKHI MUSEUM OF HAND PRINTING,26.99271,75.850776,10:30,-,17:00,-
POI14,GOVIND DEVJI TEMPLE,26.9288341,75.8240701,4:30,17:45,11:30,21:30
POI15,MOTI DOONGRI GANESH TEMPLE,26.8946451,75.8166882,4:30,-,21:15,-
POI16,DIGAMBER JAIN MANDIR JAIPUR,26.86817685,75.7912471,6:00,-,20:00,-
POI17,GALTAJI,26.91571775,75.86317065,6:00,-,18:00,-
POI18,STATUE CIRCLE,26.9080142,75.8057119,0:00,-,23:59,-
POI19,RAM NIWAS GARDEN,26.9127378,75.82018015,5:00,-,20:00,-
POI20,ZOOLOGICAL GARDEN JAIPUR,26.9132898,75.8195542,9:00,-,17:00,-
POI21,KANAK VRINDAVAN,26.9636218,75.8486341,8:00,-,17:00,-
